home,away
Ionikos Nikaias,Ifaistos Limnou
Lavrio B.C.,Iraklis B.C.
P.A.O.K.,Panionios
Larisa,Peristeri
Promitheas Patras,AEK Athens
Panathinaikos OPAP,Kolossos Rodou
Aris,Rethymno Aegean
Rethymno Aegean,Larisa
Iraklis B.C.,Kolossos Rodou
Lavrio B.C.,Promitheas Patras
Peristeri,Ionikos Nikaias
Panionios,Aris
AEK Athens,P.A.O.K.
Ifaistos Limnou,Panathinaikos OPAP
Kolossos Rodou,Ifaistos Limnou
P.A.O.K.,Lavrio B.C.
Aris,AEK Athens
Ionikos Nikaias,Rethymno Aegean
Promitheas Patras,Iraklis B.C.
Larisa,Panionios
Panathinaikos OPAP,Peristeri
Rethymno Aegean,Panathinaikos OPAP
Iraklis B.C.,Ifaistos Limnou
Peristeri,Kolossos Rodou
AEK Athens,Larisa
Promitheas Patras,P.A.O.K.
Panionios,Ionikos Nikaias
Lavrio B.C.,Aris
Panathinaikos OPAP,Panionios
Ifaistos Limnou,Peristeri
Aris,Promitheas Patras
P.A.O.K.,Iraklis B.C.
Ionikos Nikaias,AEK Athens
Kolossos Rodou,Rethymno Aegean
Larisa,Lavrio B.C.
Promitheas Patras,Rethymno Aegean
