Date,away,GA,home,GH,Nothing,Overtimes,Notes
Sat Sep 28 2019,Rethymno Aegean,50,Ifaistos Limnou,66,,,
Sat Sep 28 2019,Lavrio B.C.,94,Ionikos Nikaias,90,,,
Sat Sep 28 2019,Promitheas Patras,96,Larisa,69,,,
Sat Sep 28 2019,AEK Athens,68,Panathinaikos OPAP,89,,,
Sat Sep 28 2019,Iraklis B.C.,59,Peristeri,75,,,
Sat Sep 28 2019,Panionios,61,Kolossos Rodou,89,,,
Sun Sep 29 2019,P.A.O.K.,82,Aris,85,,,
Sat Oct 5 2019,Aris,66,Iraklis B.C.,82,,,
Sat Oct 5 2019,Ifaistos Limnou,83,Panionios,69,,,
Sat Oct 5 2019,Larisa,61,P.A.O.K.,87,,,
Sat Oct 5 2019,Ionikos Nikaias,80,Promitheas Patras,87,,,
Sat Oct 5 2019,Peristeri,79,Rethymno Aegean,60,,,
Sun Oct 6 2019,Kolossos Rodou,69,AEK Athens,93,,,
Sun Oct 6 2019,Panathinaikos OPAP,112,Lavrio B.C.,81,,,
Sat Oct 12 2019,AEK Athens,68,Ifaistos Limnou,72,,,
Sat Oct 12 2019,P.A.O.K.,66,Ionikos Nikaias,83,,,
Sat Oct 12 2019,Rethymno Aegean,56,Iraklis B.C.,74,,,
Sat Oct 12 2019,Panionios,69,Peristeri,95,,,
Sat Oct 12 2019,Lavrio B.C.,74,Kolossos Rodou,73,,,
Sun Oct 13 2019,Aris,78,Larisa,92,,,
Sun Oct 13 2019,Promitheas Patras,68,Panathinaikos OPAP,99,,,
Sat Oct 19 2019,Peristeri,91,AEK Athens,90,,,
Sat Oct 19 2019,Ionikos Nikaias,77,Aris,72,,,
Sat Oct 19 2019,Iraklis B.C.,87,Larisa,74,,,
Sat Oct 19 2019,Rethymno Aegean,67,Panionios,70,,,
Sat Oct 19 2019,Panathinaikos OPAP,104,P.A.O.K.,88,,,
Sat Oct 19 2019,Kolossos Rodou,80,Promitheas Patras,81,,,
Sun Oct 20 2019,Ifaistos Limnou,61,Lavrio B.C.,66,,,
Sat Oct 26 2019,Promitheas Patras,75,Ifaistos Limnou,72,,,
Sat Oct 26 2019,Larisa,64,Ionikos Nikaias,68,,,
Sat Oct 26 2019,Panionios,101,Iraklis B.C.,96,,,
Sat Oct 26 2019,Aris,86,Panathinaikos OPAP,108,,,
Sat Oct 26 2019,Lavrio B.C.,62,Peristeri,88,,,
Sat Oct 26 2019,P.A.O.K.,66,Kolossos Rodou,87,,,
Sun Oct 27 2019,AEK Athens,67,Rethymno Aegean,75,,,
Sat Nov 2 2019,Panionios,61,AEK Athens,91,,,
Sat Nov 2 2019,Kolossos Rodou,87,Aris,85,,,
Sat Nov 2 2019,Iraklis B.C.,74,Ionikos Nikaias,88,,,
Sat Nov 2 2019,Rethymno Aegean,78,Lavrio B.C.,86,,,
Sat Nov 2 2019,Ifaistos Limnou,74,P.A.O.K.,94,,,
Sat Nov 2 2019,Peristeri,60,Promitheas Patras,64,,,
Sun Nov 3 2019,Panathinaikos OPAP,110,Larisa,68,,,
Sat Nov 16 2019,Aris,59,Ifaistos Limnou,85,,,
Sat Nov 16 2019,AEK Athens,77,Iraklis B.C.,68,,,
Sat Nov 16 2019,Ionikos Nikaias,71,Panathinaikos OPAP,107,,,
Sat Nov 16 2019,Lavrio B.C.,77,Panionios,71,,,
Sat Nov 16 2019,Promitheas Patras,63,Rethymno Aegean,70,,,
Sat Nov 16 2019,Larisa,83,Kolossos Rodou,80,,,
Sun Nov 17 2019,P.A.O.K.,75,Peristeri,80,,,
Sat Nov 23 2019,Kolossos Rodou,86,Ionikos Nikaias,79,,,
Sat Nov 23 2019,Ifaistos Limnou,63,Larisa,58,,,
Sat Nov 23 2019,AEK Athens,73,Lavrio B.C.,60,,,
Sat Nov 23 2019,Rethymno Aegean,56,P.A.O.K.,78,,,
